X,Y,location_id,address_primary,city,state,zip,building_type_code,Service Area,Constructed,NeedsConstructed
-99.66334504,40.28222126,1451729264,1184 CENTRAL,OXFORD,NE,68967,R,RA1/2,,X
-99.65824553,40.26794173,1146071089,43651 ROAD 720,OXFORD,NE,68967,B,RA1/2,,X
-99.65736744,40.11853189,1146070649,43661 ROAD 710,STAMFORD,NE,68977,R,RA1/2,,X
-99.65520623,40.30712075,1146069762,43670 HIGHWAY 6 34,OXFORD,NE,68967,R,RA1/2,,X
-99.65362307,40.28030107,1146070345,43689 ROAD 721,OXFORD,NE,68967,R,RA1/2,,X
-99.65357806,40.32072101,1146069863,72389 ROAD 437,OXFORD,NE,68967,R,RA1/2,,X
-99.65213992,40.32836087,1146070009,72449 ROAD 437 BLDG 2,OXFORD,NE,68967,R,RA1/2,,X
-99.65155686,40.32895783,1146069287,72449 ROAD 437,OXFORD,NE,68967,B,RA1/2,,X
-99.65073478,40.29238727,1146070460,72195 ROAD 437,OXFORD,NE,68967,R,RA1/2,,X
-99.64958966,40.11994193,1146068420,71015 ROAD 437,STAMFORD,NE,68977,R,RA1/2,,X
-99.64925163,40.29200224,1146068650,72194 ROAD 437,OXFORD,NE,68967,R,RA1/2,,X
-99.64906261,40.1296529,1146068956,71079 ROAD 437,STAMFORD,NE,68977,R,RA1/2,,X
-99.64864557,40.27987792,1146070656,72106 ROAD 437,OXFORD,NE,68967,R,RA1/2,,X
-99.64655136,40.11855289,1146069355,43711 ROAD 710,STAMFORD,NE,68977,R,RA1/2,,X
-99.64068977,40.13218125,1146069996,43740 ROAD 711,STAMFORD,NE,68977,R,RA1/2,,X
-99.63822353,40.26402744,1146070247,43751 ROAD 720,OXFORD,NE,68967,R,RA1/2,,X
-99.63313402,40.30802184,1146069584,43785 HIGHWAY 6 34,OXFORD,NE,68967,R,RA1/2,,X
-99.63286799,40.28055109,1146071213,43791 ROAD 721,OXFORD,NE,68967,R,RA1/2,,X
-99.63146285,40.27133217,1146071541,72049 STATE HIGHWAY 46,OXFORD,NE,68967,B,RA1/2,,X
-99.63115182,40.27074201,1455101060,72047 STATE HIGHWAY 46,OXFORD,NE,68967,B,RA1/2,,X
-99.62740645,40.27979091,1413989670,10022 721 RD,OXFORD,NE,68967,B,RA1/2,,X
-99.62157886,40.17050709,1140138262,71363 ACORN RD,OXFORD,NE,68967,R,RA1/2,,X
-99.61740145,40.27872781,1140137680,10071 721 RD,OXFORD,NE,68967,R,RA1/2,,X
-99.61534024,40.30806284,1140137663,10081 US HIGHWAY 6,OXFORD,NE,68967,R,RA1/2,,X
-99.61269597,40.29327036,1140137661,72204 A RD,OXFORD,NE,68967,R,RA1/2,,X
-99.61244095,40.29416245,1140137665,72056 A RD BLDG 2,OXFORD,NE,68967,B,RA1/2,,X
-99.61123483,40.30406144,1413989667,72280 A RD,OXFORD,NE,68967,R,RA1/2,,X
-99.61028473,40.29338837,1140137677,72205 A RD,OXFORD,NE,68967,R,RA1/2,,X
-99.61020673,40.27187612,1140137947,72056 A RD,OXFORD,NE,68967,R,RA1/2,,X
-99.60980169,40.29292723,1140137683,SG-540 BLDG 5,OXFORD,NE,68967,B,RA1/2,,X
-99.60443915,40.33631067,1140137671,72501 SPRING GROVE RD,OXFORD,NE,68967,B,RA1/2,,X
-99.60394,40.32545258,1140137669,72431 SPRING GROVE RD,OXFORD,NE,68967,R,RA1/2,,X
-99.6029899,40.33645168,1140137679,SG-540 BLDG 13,OXFORD,NE,68967,B,RA1/2,,X
-99.60265697,40.3216471,1140137670,72404 SPRING GROVE RD,OXFORD,NE,68967,R,RA1/2,,X
-99.60218992,40.34344138,1140137662,SG-540 BLDG 12,OXFORD,NE,68967,B,RA1/2,,X
-99.59836754,40.29101114,1140137659,SG-540 BLDG 6,OXFORD,NE,68967,B,RA1/2,,X
-99.59549025,40.1766916,1463286429,71399 N MAIN ST,OXFORD,NE,68967,R,RA1/2,,X
-99.59509021,40.17697163,1140137280,71391 B RD,OXFORD,NE,68967,R,RA1/2,,X
-99.59360607,40.2626262,1140137451,71993 B RD,OXFORD,NE,68967,R,RA1/2,,X
-99.59240195,40.27800184,1140137672,10205 721 RD,OXFORD,NE,68967,R,RA1/2,,X
-99.59124583,40.27850189,1413989669,SG-540 BLDG 8,OXFORD,NE,68967,B,RA1/2,,X
-99.59025173,40.15816285,1140138157,71255 N MAIN ST,STAMFORD,NE,68977,B,RA1/2,,X
-99.58472818,40.16244628,1140132883,10243 713 RD,OXFORD,NE,68967,B,RA1/2,,X
-99.58465117,40.234988456168,1140137533,EM-540 BLDG 5,OXFORD,NE,68967,R,RA1/2,,X
-99.58352306,40.30729176,1140137682,10249 US HIGHWAY 6,OXFORD,NE,68967,R,RA1/2,,X
-99.58284599,40.26384132,1140137440,72004 B RD,OXFORD,NE,68967,R,RA1/2,,X
-99.58206791,40.335547616168,1140137675,10264 725 RD,OXFORD,NE,68967,R,RA1/2,,X
-99.58068477,40.16280222,1413989639,10292 713 RD BLDG 2,STAMFORD,NE,68977,R,RA1/2,,X
-99.58061777,40.16302034,1413989638,10292 713 RD,STAMFORD,NE,68977,R,RA1/2,,X
-99.58013472,40.27746178,1140137674,SG-540 BLDG 9,OXFORD,NE,68967,R,RA1/2,,X
-99.58001771,40.16283622,1140138154,10271 713 RD BLDG 3,OXFORD,NE,68967,R,RA1/2,,X
-99.57962367,40.16305734,1413989640,10271 713 RD,OXFORD,NE,68967,R,RA1/2,,X
-99.5789345,40.30579751,1140137676,10276 US HIGHWAY 6,OXFORD,NE,68967,R,RA1/2,,X
-99.5749891,40.336897646168,1140137666,SG-540 BLDG 11,OXFORD,NE,68967,B,RA1/2,,X
-99.57406711,40.343521416168,1140137684,72550 C RD,OXFORD,NE,68967,R,RA1/2,,X
-99.57389009,40.330017066168,1140137673,72479 C RD,OXFORD,NE,68967,B,RA1/2,,X
-99.57278498,40.18403244,1140137269,71455 C RD BLDG 2,OXFORD,NE,68967,R,RA1/2,,X
-99.57085179,40.18134817,1140137278,71436 C RD,OXFORD,NE,68967,R,RA1/2,,X
-99.57070178,40.18084102,1140137281,71455 C RD,OXFORD,NE,68967,B,RA1/2,,X
-99.56951766,40.225836546168,1140137529,EM-540 BLDG 6,OXFORD,NE,68967,R,RA1/2,,X
-99.56569027,40.248561916168,1413989654,EM-540 BLDG 15,OXFORD,NE,68967,B,RA1/2,,X
-99.56474018,40.27848288,1140137667,10345 721 RD,OXFORD,NE,68967,R,RA1/2,,X
-99.56406711,40.234931456168,1140137526,10349 718 RD,OXFORD,NE,68967,R,RA1/2,,X
-99.563973,40.232218286168,1140137535,10350 718 RD,OXFORD,NE,68967,R,RA1/2,,X
-99.56376208,40.219419006168,1140137532,10349 US HIGHWAY 136,OXFORD,NE,68967,R,RA1/2,,X
-99.56361707,40.247430806168,1140137519,EM-540 BLDG 14,OXFORD,NE,68967,B,RA1/2,,X
-99.56358906,40.27925796,1140137678,SG-540 BLDG 7,OXFORD,NE,68967,B,RA1/2,,X
-99.56346705,40.241717136168,1140137524,10301 719 RD,OXFORD,NE,68967,R,RA1/2,,X
-99.56049575,40.17990093,1140137279,71429 D RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.56026773,40.321811146168,1140137668,10375 724 RD,OXFORD,NE,68967,R,RA1/2,,X
-99.5599906,40.27137117,1140137442,72055 D RD,OXFORD,NE,68967,R,RA1/2,,X
-99.55965667,40.221397196168,1140137534,10376 717 RD,OXFORD,NE,68967,R,RA1/2,,X
-99.55939064,40.247661726168,1140137520,10376 719 RD,OXFORD,NE,68967,R,RA1/2,,X
-99.55913962,40.18041008,1451729319,71427 D RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.55875658,40.222177276168,1463286101,10329 US HIGHWAY 136,OXFORD,NE,68967,R,RA1/2,,X
-99.55641235,40.1766976,1140137277,71401 D RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.55476218,40.18399833,1140137275,71423 D RD,OXFORD,NE,68967,B,RA1/2,,X
-99.55402311,40.18041108,1140136809,71426 D RD,ORLEANS,NE,68966,B,RA1/2,,X
-99.5529909,40.246671626168,1463286098,10404 719 RD,OXFORD,NE,68967,R,RA1/2,,X
-99.55288999,40.20509154,1140137272,10404 US HIGHWAY 136,OXFORD,NE,68967,B,RA1/2,,X
-99.55225193,40.26359839,1140137441,10408 720 RD,OXFORD,NE,68967,R,RA1/2,,X
-99.55121783,40.16026606,1140136299,71284 D RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.55078978,40.17630767,1140136819,71398 DRIFTWOOD RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.54975668,40.27828786,1140137776,10427 721 RD,OXFORD,NE,68967,R,RA1/2,,X
-99.54747845,40.26412745,1413989671,10436 720 RD,OXFORD,NE,68967,B,RA1/2,,X
-99.54711742,40.26417645,1413989672,72007 MASCOT RD,OXFORD,NE,68967,B,RA1/2,,X
-99.54683939,40.2656665,1140137436,72017 MASCOT RD,OXFORD,NE,68967,B,RA1/2,,X
-99.54570628,40.17098003,1451729331,71356 DRIFTWOOD RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.54544525,40.26648168,1140137498,72026 MASCOT RD,OXFORD,NE,68967,B,RA1/2,,X
-99.54362307,40.26349738,1140137449,10532 720 RD,OXFORD,NE,68967,R,RA1/2,,X
-99.54273998,40.206320696168,1140137282,10461 716 RD,OXFORD,NE,68967,R,RA1/2,,X
-99.54266297,40.11893283,1463285387,10463 710 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.54017872,40.213387396168,1413989658,71651 E RD BLDG 2,OXFORD,NE,68967,R,RA1/2,,X
-99.53920663,40.214390496168,1140137270,71651 E RD,OXFORD,NE,68967,R,RA1/2,,X
-99.53654536,40.220181076168,1140137523,EM-540 BLDG 13,OXFORD,NE,68967,B,RA1/2,,X
-99.53601231,40.25577151,1140137445,EM-540 BLDG 9,OXFORD,NE,68967,B,RA1/2,,X
-99.53586729,40.2556175,1140137447,EM-540 BLDG 11,OXFORD,NE,68967,B,RA1/2,,X
-99.53581729,40.25522056,1140137446,71943 E RD,OXFORD,NE,68967,R,RA1/2,,X
-99.53551226,40.11874181,1140136799,71006 E RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.5349011,40.1186218,1140136800,71006 E RD BLDG 2,ORLEANS,NE,68966,R,RA1/2,,X
-99.53477318,40.19032207,1140136808,10498 715 RD,ORLEANS,NE,68966,B,RA1/2,,X
-99.53467317,40.19141818,1140137276,71511 E RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.53383409,40.19302134,1140136807,71531 E RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.53369007,40.226891646168,1140137530,71746 E RD,OXFORD,NE,68967,R,RA1/2,,X
-99.53073978,40.18674061,1393589843,10518 US HIGHWAY 136,ORLEANS,NE,68966,R,RA1/2,,X
-99.53067877,40.18654769,1393589842,10518 715 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.53057376,40.18612865,1393589840,10518 715 RD BLDG 2,ORLEANS,NE,68966,R,RA1/2,,X
-99.53046275,40.18694263,1393589844,EM-540 BLDG 2,ORLEANS,NE,68966,R,RA1/2,,X
-99.53016272,40.11794273,1140138146,10534 710 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.5299896,40.18708174,1140136805,10518 715 RD BLDG 3,ORLEANS,NE,68966,R,RA1/2,,X
-99.5299566,40.18735777,1393589845,10536 715 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.52789549,40.25886682,1140137450,10534 720 RD,OXFORD,NE,68967,R,RA1/2,,X
-99.52742345,40.25830787,1463286355,10515 720 RD,OXFORD,NE,68967,R,RA1/2,,X
-99.52702841,40.1186508,1140136782,10551 710 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.5269283,40.2586868,1140137452,EM-540 BLDG 8,OXFORD,NE,68967,B,RA1/2,,X
-99.52669537,40.11881082,1393589558,10596 710 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.52626233,40.11744278,1140138148,10594 710 RD,STAMFORD,NE,68977,B,RA1/2,,X
-99.52527323,40.1836523,1393589869,10556 US HIGHWAY 136,ORLEANS,NE,68966,R,RA1/2,,X
-99.51911762,40.08718675,1140138622,70689 F RD,STAMFORD,NE,68977,B,RA1/2,,X
-99.51873458,40.20509754,1393589838,10596 716 RD BLDG 2,ORLEANS,NE,68966,R,RA1/2,,X
-99.51867857,40.05271721,1140138231,FF-540,STAMFORD,NE,68977,B,RA1/2,,X
-99.51725643,40.20514155,1463284834,10594 716 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.51714042,40.20550859,1140137811,EM-540 BLDG 12,OXFORD,NE,68967,B,RA1/2,,X
-99.51711242,40.05628766,1140137079,70570 F RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.5169903,40.17942798,1140136425,EM-540 BLDG 3,ORLEANS,NE,68966,B,RA1/2,,X
-99.5169843,40.20522256,1463284835,10596 716 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.51634034,40.24091203,1413989619,71842 F RD,ORLEANS,NE,68966,B,RA1/2,,X
-99.51609531,40.11276621,1140136558,O-540 BLDG 14,ORLEANS,NE,68966,B,RA1/2,,X
-99.51567827,40.18676761,1140136417,71474 F RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.51336204,40.06796873,1140137070,70652 F RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.50516222,40.27853289,1140136752,10669 721 RD,OXFORD,NE,68967,R,RA1/2,,X
-99.5029409,40.12333837,1140136553,O-540 BLDG 6,ORLEANS,NE,68966,B,RA1/2,,X
-99.50255696,40.17303734,1140136416,O-540 BLDG 21,ORLEANS,NE,68966,B,RA1/2,,X
-99.49846755,40.16924196,1140136421,71354 G RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.49707841,40.23798773,1413989621,71825 G RD BLDG 2,ORLEANS,NE,68966,R,RA1/2,,X
-99.49703441,40.23779771,1140136833,71825 G RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.49680639,40.23797073,1413989620,71824 G RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.49158986,40.05530157,1393589920,70569 GAZELLE RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.49125683,40.05592753,1393589922,70571 GAZELLE RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.4909847,40.05573851,1140137071,70569 GAZELLE RD BLDG 2,ORLEANS,NE,68966,R,RA1/2,,X
-99.49080179,40.05541158,1393589921,70567 GAZELLE RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.48631734,40.24786672,1140137177,10792 719 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.48544525,40.11110115,1393589474,10787 FALCON RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.48530624,40.11038007,1140136983,O-540 BLDG 13,ORLEANS,NE,68966,R,RA1/2,,X
-99.48375108,40.19801284,1140136423,71549 H RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.48273998,40.04641068,1140137077,ELD-540,ORLEANS,NE,68966,B,RA1/2,,X
-99.48100181,40.22711175,1140136827,71753 H RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.47967867,40.24119115,1140137171,RU-540 BLDG 5,ORLEANS,NE,68966,B,RA1/2,,X
-99.47740145,40.20094103,1140136317,10802 716 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.47637834,40.04479741,1140137081,ELD-540 BLDG 6,ORLEANS,NE,68966,B,RA1/2,,X
-99.47572828,40.06068,1140137073,10829 706 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.47526723,40.20522756,1140136316,10827 716 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.4729519,40.05926896,1140137067,10846 706 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.4709287,40.25375031,1140137180,RU-540 BLDG 4,ORLEANS,NE,68966,B,RA1/2,,X
-99.46928463,40.05781872,1393589299,10865 706 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.4689845,40.24730277,1393589322,10862 719 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.4689515,40.05777871,1393589297,10867 706 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.46877358,40.24696263,1393589320,10865 719 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.46854056,40.24676861,1140137162,10867 719 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.46847355,40.05794273,1393589298,10872 706 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.46845155,40.05818285,1140137084,10872 706 RD BLDG 2,ORLEANS,NE,68966,R,RA1/2,,X
